variable;monsterdiepte;parameter;compartiment;zone;eenheid;methode;varnames
A_NA_RT_OR_25;0-25;Sodium total;OR;;g/kg;liab;Sodium total_25
A_NA_RT_OR_50;25-50;Sodium total;OR;;g/kg;liab;Sodium total_25
A_NB_RT_OR_25;0-25;Niobium Total;OR;;mg/kg;liab;Niobium Total_25
A_NB_RT_OR_50;25-50;Niobium Total;OR;;mg/kg;liab;Niobium Total_25
A_NI_RT_OR_25;0-25;Nickel total;OR;;mg/kg;liab;Nickel total_25
A_NI_RT_OR_50;25-50;Nickel total;OR;;mg/kg;liab;Nickel total_25
A_N_RT_OR_25;0-25;Nitrogen total;OR;;g/kg;liab;Nitrogen total_25
A_N_RT_OR_50;25-50;Nitrogen total;OR;;g/kg;liab;Nitrogen total_25
A_PB_RT_OR_25;0-25;Lead total;OR;;mg/kg;liab;Lead total_25
A_PB_RT_OR_50;25-50;Lead total;OR;;mg/kg;liab;Lead total_25
A_PH_KCL_OR_25;0-25;pH (KCl);OR;;-log (H +);liab;pH (KCl)_25
A_PH_KCL_OR_50;25-50;pH (KCl);OR;;-log (H +);liab;pH (KCl)_25
A_P_M3_OR_25;0-25;Phosphorus(M3);OR;;mg/kg;liab;Phosphorus(M3)_25
A_P_M3_OR_50;25-50;Phosphorus(M3);OR;;mg/kg;liab;Phosphorus(M3)_25
A_P_RT_OR_25;0-25;Phosphorustotal;OR;;g/kg;liab;Phosphorustotal_25
A_P_RT_OR_50;25-50;Phosphorustotal;OR;;g/kg;liab;Phosphorustotal_25
A_RB_RT_OR_25;0-25;Rubidium Total;OR;;mg/kg;liab;Rubidium Total_25
A_RB_RT_OR_50;25-50;Rubidium Total;OR;;mg/kg;liab;Rubidium Total_25
A_SC_RT_OR_25;0-25;Scandium Total;OR;;mg/kg;liab;Scandium Total_25
A_SC_RT_OR_50;25-50;Scandium Total;OR;;mg/kg;liab;Scandium Total_25
A_SI_RT_OR_25;0-25;Silicium total;OR;;g/kg;liab;Silicium total_25
A_SI_RT_OR_50;25-50;Silicium total;OR;;g/kg;liab;Silicium total_25
A_SOM_LOI;;A_SOM_LOI;;;%;bodemschat;A_SOM_LOI
A_SR_RT_OR_25;0-25;Strontium Total;OR;;mg/kg;liab;Strontium Total_25
A_SR_RT_OR_50;25-50;Strontium Total;OR;;mg/kg;liab;Strontium Total_25
A_S_RT_OR_25;0-25;Sulphur total;OR;;g/kg;liab;Sulphur total_25
A_S_RT_OR_50;25-50;Sulphur total;OR;;g/kg;liab;Sulphur total_25
A_TI_RT_OR_25;0-25;Titanium total;OR;;g/kg;liab;Titanium total_25
A_TI_RT_OR_50;25-50;Titanium total;OR;;g/kg;liab;Titanium total_25
A_V_RT_OR_25;0-25;Vanadium Total;OR;;mg/kg;liab;Vanadium Total_25
A_V_RT_OR_50;25-50;Vanadium Total;OR;;mg/kg;liab;Vanadium Total_25
A_Y_RT_OR_25;0-25;Yttrium Total;OR;;mg/kg;liab;Yttrium Total_25
A_Y_RT_OR_50;25-50;Yttrium Total;OR;;mg/kg;liab;Yttrium Total_25
A_ZN_CO_OR_25;0-25;Zinc  (Exch);OR;;mmol+/kg;liab;Zinc  (Exch)_25
A_ZN_CO_OR_50;25-50;Zinc  (Exch);OR;;mmol+/kg;liab;Zinc  (Exch)_25
A_ZN_M3_OR_25;0-25;Zinc (M3);OR;;mg/kg;liab;Zinc (M3)_25
A_ZN_M3_OR_50;25-50;Zinc (M3);OR;;mg/kg;liab;Zinc (M3)_25
A_ZN_RT_OR_25;0-25;Zinc total;OR;;mg/kg;liab;Zinc total_25
A_ZN_RT_OR_50;25-50;Zinc total;OR;;mg/kg;liab;Zinc total_25
Al2O3_xrf_g/kg_OR_25;0-25;Al2O3;OR;;g/kg;xrf;Al2O3_xrf_g/kg_OR_25
Al2O3_xrf_g/kg_OR_50;25-50;Al2O3;OR;;g/kg;xrf;Al2O3_xrf_g/kg_OR_50
Al2O3_xrf_g/kg_SB;0-25;Al2O3;SB;;g/kg;xrf;Al2O3_xrf_g/kg_SB
Al_CC_µg/kg_OR_25;0-25;Al;OR;;µg/kg;calciumchloride;Al_CC_µg/kg_OR_25
Al_CC_µg/kg_OR_50;25-50;Al;OR;;µg/kg;calciumchloride;Al_CC_µg/kg_OR_50
Al_CC_µg/kg_SB;0-25;Al;SB;;µg/kg;calciumchloride;Al_CC_µg/kg_SB
Al_M3_mg/kg_OR_25;0-25;Al;OR;;mg/kg;M3;Al_M3_mg/kg_OR_25
Al_M3_mg/kg_OR_50;25-50;Al;OR;;mg/kg;M3;Al_M3_mg/kg_OR_50
Al_mmol/kg DW_SB;0-25;Al;SB;;mmol/kg DW;icp Bware;Al_mmol/kg DW_SB
Al_mmol/l FW_SB;0-25;Al;SB;;mmol/l FW;icp Bware;Al_mmol/l FW_SB
Al_µmol/l_OW;10-15;Al;OW;;µmol/l;icp Bware;Al_µmol/l_OW
Al_µmol/l_PW;0-25;Al;PW;;µmol/l;icp Bware;Al_µmol/l_PW
Anorg N_OW;10-15;Anorg N;OW;;OW;icp Bware;Anorg N_OW
B _M3_mg/kg_OR_25;0-25;B;OR;;mg/kg;M3;B _M3_mg/kg_OR_25
B _M3_mg/kg_OR_50;25-50;B;OR;;mg/kg;M3;B _M3_mg/kg_OR_50
B_CC_µg/kg_OR_25;0-25;B;OR;;µg/kg;calciumchloride;B_CC_µg/kg_OR_25
B_CC_µg/kg_OR_50;25-50;B;OR;;µg/kg;calciumchloride;B_CC_µg/kg_OR_50
B_CC_µg/kg_SB;0-25;B;SB;;µg/kg;calciumchloride;B_CC_µg/kg_SB
B_CO_mmol+/kg_OR_25;0-25;B;OR;;mmol+/kg;cohex;B_CO_mmol+/kg_OR_25
B_CO_mmol+/kg_OR_50;25-50;B;OR;;mmol+/kg;cohex;B_CO_mmol+/kg_OR_50
Ba_xrf_mg/kg_OR_25;0-25;Ba;OR;;mg/kg;xrf;Ba_xrf_mg/kg_OR_25
Ba_xrf_mg/kg_OR_50;25-50;Ba;OR;;mg/kg;xrf;Ba_xrf_mg/kg_OR_50
Ba_xrf_mg/kg_SB;0-25;Ba;SB;;mg/kg;xrf;Ba_xrf_mg/kg_SB
Br_xrf_mg/kg_OR_25;0-25;Br;OR;;mg/kg;xrf;Br_xrf_mg/kg_OR_25
Br_xrf_mg/kg_OR_50;25-50;Br;OR;;mg/kg;xrf;Br_xrf_mg/kg_OR_50
Br_xrf_mg/kg_SB;0-25;Br;SB;;mg/kg;xrf;Br_xrf_mg/kg_SB
CA_CO_mmol+/kg_OR_25;0-25;CA;OR;;mmol+/kg;cohex;CA_CO_mmol+/kg_OR_25
CA_CO_mmol+/kg_OR_50;25-50;CA;OR;;mmol+/kg;cohex;CA_CO_mmol+/kg_OR_50
CEC_CO_mmol+/kg_OR_25;0-25;CEC;OR;;mmol+/kg;cohex;CEC_CO_mmol+/kg_OR_25
CEC_CO_mmol+/kg_OR_50;25-50;CEC;OR;;mmol+/kg;cohex;CEC_CO_mmol+/kg_OR_50
CO2_µmol/l_OW;10-15;CO2;OW;;µmol/l;icp Bware;CO2_µmol/l_OW
CO2_µmol/l_PW;0-25;CO2;PW;;µmol/l;infrarood Bware;CO2_µmol/l_PW
CU_CO_mmol+/kg_OR_25;0-25;CU;OR;;mmol+/kg;cohex;CU_CO_mmol+/kg_OR_25
CU_CO_mmol+/kg_OR_50;25-50;CU;OR;;mmol+/kg;cohex;CU_CO_mmol+/kg_OR_50
CaO_xrf_g/kg_OR_25;0-25;CaO;OR;;g/kg;xrf;CaO_xrf_g/kg_OR_25
CaO_xrf_g/kg_OR_50;25-50;CaO;OR;;g/kg;xrf;CaO_xrf_g/kg_OR_50
CaO_xrf_g/kg_SB;0-25;CaO;SB;;g/kg;xrf;CaO_xrf_g/kg_SB
Ca_M3_mg/kg_OR_25;0-25;Ca;OR;;mg/kg;M3;Ca_M3_mg/kg_OR_25
Ca_M3_mg/kg_OR_50;25-50;Ca;OR;;mg/kg;M3;Ca_M3_mg/kg_OR_50
Ca_mmol/kg DW_SB;0-25;Ca;SB;;mmol/kg DW;icp Bware;Ca_mmol/kg DW_SB
Ca_mmol/l FW_SB;0-25;Ca;SB;;mmol/l FW;icp Bware;Ca_mmol/l FW_SB
Ca_µmol/l_OW;10-15;Ca;OW;;µmol/l;icp Bware;Ca_µmol/l_OW
Ca_µmol/l_PW;0-25;Ca;PW;;µmol/l;icp Bware;Ca_µmol/l_PW
Chl-a totaal_ug/l_OW;10-15;Chl-a totaal;OW;;ug/l;icp Bware;Chl-a totaal_ug/l_OW
Cl _mmol/kg DW_SB;0-25;Cl;SB;;mmol/kg DW;icp Bware;Cl _mmol/kg DW_SB
Cl_2_µmol/l_OW;10-15;Cl2;OW;;µmol/l;icp Bware;Cl_2_µmol/l_OW
Cl_2_µmol/l_PW;0-25;Cl2;PW;;µmol/l;icp Bware;Cl_2_µmol/l_PW
Cl_mmol/l FW_SB;0-25;Cl;SB;;mmol/l FW;icp Bware;Cl_mmol/l FW_SB
Cl_µmol/l_OW;10-15;Cl;OW;;µmol/l;icp Bware;Cl_µmol/l_OW
Cl_µmol/l_PW;0-25;Cl;PW;;µmol/l;icp Bware;Cl_µmol/l_PW
Co_CC_µg/kg_OR_25;0-25;Co;OR;;µg/kg;calciumchloride;Co_CC_µg/kg_OR_25
Co_CC_µg/kg_OR_50;25-50;Co;OR;;µg/kg;calciumchloride;Co_CC_µg/kg_OR_50
Co_CC_µg/kg_SB;0-25;Co;SB;;µg/kg;calciumchloride;Co_CC_µg/kg_SB
Co_M3_mg/kg_OR_25;0-25;Co;OR;;mg/kg;M3;Co_M3_mg/kg_OR_25
Co_M3_mg/kg_OR_50;25-50;Co;OR;;mg/kg;M3;Co_M3_mg/kg_OR_50
Co_xrf_mg/kg_OR_25;0-25;Co;OR;;mg/kg;xrf;Co_xrf_mg/kg_OR_25
Co_xrf_mg/kg_OR_50;25-50;Co;OR;;mg/kg;xrf;Co_xrf_mg/kg_OR_50
Co_xrf_mg/kg_SB;0-25;Co;SB;;mg/kg;xrf;Co_xrf_mg/kg_SB
Cr_xrf_mg/kg_OR_25;0-25;Cr;OR;;mg/kg;xrf;Cr_xrf_mg/kg_OR_25
Cr_xrf_mg/kg_OR_50;25-50;Cr;OR;;mg/kg;xrf;Cr_xrf_mg/kg_OR_50
Cr_xrf_mg/kg_SB;0-25;Cr;SB;;mg/kg;xrf;Cr_xrf_mg/kg_SB
Cu_CC_µg/kg_OR_25;0-25;Cu;OR;;µg/kg;calciumchloride;Cu_CC_µg/kg_OR_25
Cu_CC_µg/kg_OR_50;25-50;Cu;OR;;µg/kg;calciumchloride;Cu_CC_µg/kg_OR_50
Cu_CC_µg/kg_SB;0-25;Cu;SB;;µg/kg;calciumchloride;Cu_CC_µg/kg_SB
Cu_M3_mg/kg_OR_25;0-25;Cu;OR;;mg/kg;M3;Cu_M3_mg/kg_OR_25
Cu_M3_mg/kg_OR_50;25-50;Cu;OR;;mg/kg;M3;Cu_M3_mg/kg_OR_50
Cu_xrf_mg/kg_OR_25;0-25;Cu;OR;;mg/kg;xrf;Cu_xrf_mg/kg_OR_25
Cu_xrf_mg/kg_OR_50;25-50;Cu;OR;;mg/kg;xrf;Cu_xrf_mg/kg_OR_50
Cu_xrf_mg/kg_SB;0-25;Cu;SB;;mg/kg;xrf;Cu_xrf_mg/kg_SB
DN_µmol/l_OW;10-15;DN;OW;;µmol/l;icp Bware;DN_µmol/l_OW
DOC_µmol/l_OW;10-15;DOC;OW;;µmol/l;icp Bware;DOC_µmol/l_OW
EGV_µs/cm_OW;10-15;EGV;OW;;µs/cm;icp Bware;EGV_µs/cm_OW
EGV_µs/cm_PW;0-25;EGV;PW;;µs/cm;Bware;EGV_µs/cm_PW
FE_CO_mmol+/kg_OR_25;0-25;FE;OR;;mmol+/kg;cohex;FE_CO_mmol+/kg_OR_25
FE_CO_mmol+/kg_OR_50;25-50;FE;OR;;mmol+/kg;cohex;FE_CO_mmol+/kg_OR_50
Fe/P_DW_SB;0-25;Fe/P;SB;;DW;icp Bware;Fe/P_DW_SB
Fe/P_PW;0-25;Fe/P;PW;;PW;icp Bware;Fe/P_PW
Fe/S_DW_SB;0-25;Fe/S;SB;;DW;icp Bware;Fe/S_DW_SB
Fe2O3_xrf_g/kg_OR_25;0-25;Fe2O3;OR;;g/kg;xrf;Fe2O3_xrf_g/kg_OR_25
Fe2O3_xrf_g/kg_OR_50;25-50;Fe2O3;OR;;g/kg;xrf;Fe2O3_xrf_g/kg_OR_50
Fe2O3_xrf_g/kg_SB;0-25;Fe2O3;SB;;g/kg;xrf;Fe2O3_xrf_g/kg_SB
Fe_CC_mg/kg_OR_25;0-25;Fe;OR;;mg/kg;calciumchloride;Fe_CC_mg/kg_OR_25
Fe_CC_mg/kg_OR_50;25-50;Fe;OR;;mg/kg;calciumchloride;Fe_CC_mg/kg_OR_50
Fe_CC_mg/kg_SB;0-25;Fe;SB;;mg/kg;calciumchloride;Fe_CC_mg/kg_SB
Fe_M3_mg/kg_OR_25;0-25;Fe;OR;;mg/kg;M3;Fe_M3_mg/kg_OR_25
Fe_M3_mg/kg_OR_50;25-50;Fe;OR;;mg/kg;M3;Fe_M3_mg/kg_OR_50
Fe_mmol/kg DW_SB;0-25;Fe;SB;;mmol/kg DW;icp Bware;Fe_mmol/kg DW_SB
Fe_mmol/l FW_SB;0-25;Fe;SB;;mmol/l FW;icp Bware;Fe_mmol/l FW_SB
Fe_µmol/l_OW;10-15;Fe;OW;;µmol/l;icp Bware;Fe_µmol/l_OW
Fe_µmol/l_PW;0-25;Fe;PW;;µmol/l;icp Bware;Fe_µmol/l_PW
Ga_xrf_mg/kg_OR_25;0-25;Ga;OR;;mg/kg;xrf;Ga_xrf_mg/kg_OR_25
Ga_xrf_mg/kg_OR_50;25-50;Ga;OR;;mg/kg;xrf;Ga_xrf_mg/kg_OR_50
Ga_xrf_mg/kg_SB;0-25;Ga;SB;;mg/kg;xrf;Ga_xrf_mg/kg_SB
HCO3_µmol/l_OW;10-15;HCO3;OW;;µmol/l;icp Bware;HCO3_µmol/l_OW
HCO3_µmol/l_PW;0-25;HCO3;PW;;µmol/l;infrarood Bware;HCO3_µmol/l_PW
K _M3_mg/kg_OR_25;0-25;K;OR;;mg/kg;M3;K _M3_mg/kg_OR_25
K _M3_mg/kg_OR_50;25-50;K;OR;;mg/kg;M3;K _M3_mg/kg_OR_50
K2O_xrf_g/kg_OR_25;0-25;K2O;OR;;g/kg;xrf;K2O_xrf_g/kg_OR_25
K2O_xrf_g/kg_OR_50;25-50;K2O;OR;;g/kg;xrf;K2O_xrf_g/kg_OR_50
K2O_xrf_g/kg_SB;0-25;K2O;SB;;g/kg;xrf;K2O_xrf_g/kg_SB
K_2_µmol/l_OW;10-15;K2;OW;;µmol/l;icp Bware;K_2_µmol/l_OW
K_2_µmol/l_PW;0-25;K2;PW;;µmol/l;icp Bware;K_2_µmol/l_PW
K_CC_mg/kg_OR_25;0-25;K;OR;;mg/kg;calciumchloride;K_CC_mg/kg_OR_25
K_CC_mg/kg_OR_50;25-50;K;OR;;mg/kg;calciumchloride;K_CC_mg/kg_OR_50
K_CC_mg/kg_SB;0-25;K;SB;;mg/kg;calciumchloride;K_CC_mg/kg_SB
K_CO_mmol+/kg_OR_25;0-25;K;OR;;mmol+/kg;cohex;K_CO_mmol+/kg_OR_25
K_CO_mmol+/kg_OR_50;25-50;K;OR;;mmol+/kg;cohex;K_CO_mmol+/kg_OR_50
K_mmol/kg DW_SB;0-25;K;SB;;mmol/kg DW;icp Bware;K_mmol/kg DW_SB
K_mmol/l FW_SB;0-25;K;SB;;mmol/l FW;icp Bware;K_mmol/l FW_SB
K_µmol/l_OW;10-15;K;OW;;µmol/l;icp Bware;K_µmol/l_OW
K_µmol/l_PW;0-25;K;PW;;µmol/l;icp Bware;K_µmol/l_PW
Karper_brasem;;Karper_brasem;;;;vegetatieopname;Karper_brasem
MG_CO_mmol+/kg_OR_25;0-25;MG;OR;;mmol+/kg;cohex;MG_CO_mmol+/kg_OR_25
MG_CO_mmol+/kg_OR_50;25-50;MG;OR;;mmol+/kg;cohex;MG_CO_mmol+/kg_OR_50
MN_CO_mmol+/kg_OR_25;0-25;MN;OR;;mmol+/kg;cohex;MN_CO_mmol+/kg_OR_25
MN_CO_mmol+/kg_OR_50;25-50;MN;OR;;mmol+/kg;cohex;MN_CO_mmol+/kg_OR_50
MO_CO_mmol+/kg_OR_25;0-25;MO;OR;;mmol+/kg;cohex;MO_CO_mmol+/kg_OR_25
MO_CO_mmol+/kg_OR_50;25-50;MO;OR;;mmol+/kg;cohex;MO_CO_mmol+/kg_OR_50
MgO_xrf_g/kg_OR_25;0-25;MgO;OR;;g/kg;xrf;MgO_xrf_g/kg_OR_25
MgO_xrf_g/kg_OR_50;25-50;MgO;OR;;g/kg;xrf;MgO_xrf_g/kg_OR_50
MgO_xrf_g/kg_SB;0-25;MgO;SB;;g/kg;xrf;MgO_xrf_g/kg_SB
Mg_CC_mg/kg_OR_25;0-25;Mg;OR;;mg/kg;calciumchloride;Mg_CC_mg/kg_OR_25
Mg_CC_mg/kg_OR_50;25-50;Mg;OR;;mg/kg;calciumchloride;Mg_CC_mg/kg_OR_50
Mg_CC_mg/kg_SB;0-25;Mg;SB;;mg/kg;calciumchloride;Mg_CC_mg/kg_SB
Mg_M3_mg/kg_OR_25;0-25;Mg;OR;;mg/kg;M3;Mg_M3_mg/kg_OR_25
Mg_M3_mg/kg_OR_50;25-50;Mg;OR;;mg/kg;M3;Mg_M3_mg/kg_OR_50
Mg_mmol/kg DW_SB;0-25;Mg;SB;;mmol/kg DW;icp Bware;Mg_mmol/kg DW_SB
Mg_mmol/l FW_SB;0-25;Mg;SB;;mmol/l FW;icp Bware;Mg_mmol/l FW_SB
Mg_µmol/l_OW;10-15;Mg;OW;;µmol/l;icp Bware;Mg_µmol/l_OW
Mg_µmol/l_PW;0-25;Mg;PW;;µmol/l;icp Bware;Mg_µmol/l_PW
MnO_xrf_mg/kg_OR_25;0-25;MnO;OR;;mg/kg;xrf;MnO_xrf_mg/kg_OR_25
MnO_xrf_mg/kg_OR_50;25-50;MnO;OR;;mg/kg;xrf;MnO_xrf_mg/kg_OR_50
MnO_xrf_mg/kg_SB;0-25;MnO;SB;;mg/kg;xrf;MnO_xrf_mg/kg_SB
Mn_CC_mg/kg_OR_25;0-25;Mn;OR;;mg/kg;calciumchloride;Mn_CC_mg/kg_OR_25
Mn_CC_mg/kg_OR_50;25-50;Mn;OR;;mg/kg;calciumchloride;Mn_CC_mg/kg_OR_50
Mn_CC_mg/kg_SB;0-25;Mn;SB;;mg/kg;calciumchloride;Mn_CC_mg/kg_SB
Mn_M3_mg/kg_OR_25;0-25;Mn;OR;;mg/kg;M3;Mn_M3_mg/kg_OR_25
Mn_M3_mg/kg_OR_50;25-50;Mn;OR;;mg/kg;M3;Mn_M3_mg/kg_OR_50
Mn_mmol/kg DW_SB;0-25;Mn;SB;;mmol/kg DW;icp Bware;Mn_mmol/kg DW_SB
Mn_mmol/l FW_SB;0-25;Mn;SB;;mmol/l FW;icp Bware;Mn_mmol/l FW_SB
Mn_µmol/l_OW;10-15;Mn;OW;;µmol/l;icp Bware;Mn_µmol/l_OW
Mn_µmol/l_PW;0-25;Mn;PW;;µmol/l;icp Bware;Mn_µmol/l_PW
Mo_CC_mg/kg_OR_25;0-25;Mo;OR;;mg/kg;calciumchloride;Mo_CC_mg/kg_OR_25
Mo_CC_mg/kg_OR_50;25-50;Mo;OR;;mg/kg;calciumchloride;Mo_CC_mg/kg_OR_50
Mo_CC_mg/kg_SB;0-25;Mo;SB;;mg/kg;calciumchloride;Mo_CC_mg/kg_SB
Mo_M3_mg/kg_OR_25;0-25;Mo;OR;;mg/kg;M3;Mo_M3_mg/kg_OR_25
Mo_M3_mg/kg_OR_50;25-50;Mo;OR;;mg/kg;M3;Mo_M3_mg/kg_OR_50
N-NH4_CC_mg/kg_OR_25;0-25;N-NH4;OR;;mg/kg;calciumchloride;N-NH4_CC_mg/kg_OR_25
N-NH4_CC_mg/kg_OR_50;25-50;N-NH4;OR;;mg/kg;calciumchloride;N-NH4_CC_mg/kg_OR_50
N-NH4_CC_mg/kg_SB;0-25;N-NH4;SB;;mg/kg;calciumchloride;N-NH4_CC_mg/kg_SB
